S.No,Sentence,Annotator 1,Annotator 2,IAA,Char_Length,Word_Count,Is_English,label
200,"Fetal Homocide? Toddler Homicide? A human in different stages of development.....Why/or What is the difference?And if someone wanted this legal( Toddler Homicide) ...I don't see much anybody could do legally to stop it..   When women kill their tots they are locked up/ and branded with a criminal record vs the female who callously kills durning the fetal stage.(Double standard?)   I have a couple friends, who have aborted more than once, because they didn't want to lose their girly figure(trivial). I find it eerie and disturbion.....",Sarcastic,Sarcastic,Agree,539,85,True,Sarcastic
201,"don't you see the foolishness of that based on your own personal life experiences as a sentient human being? no. you were the one who posted that something does not need to be sentient in order to be alive. why, then, do you distinguish between two things that are obviously both alive, both of which are parasites on their hosts?",Sarcastic,Sarcastic,Agree,330,60,True,Sarcastic
202,you shouldn't bring your family into these things. lol! reckon you toads got your heads handed to you at yorktown. gotta love it. now go change your diaper.,Sarcastic,Sarcastic,Agree,156,28,True,Sarcastic
204,"Well, I have heard people on the pro-gun side say that most defensive gun uses don't involve firing even one round. So limiting the capacity would probably have less of an effect on the ability to defend yourself than on crime. So why are people from the gun lobby always whining about restrictions like this? When semi-automatic rifles were banned in Australia, hunters welcomed the law. They saw it as a challenge because it takes greater skill to shoot an animal with a bolt action rifle. Not so in America where some gun owners like to use guns that could take down planes to shoot small animals.",Sarcastic,Sarcastic,Agree,600,107,True,Sarcastic
207,"true, though they can't have been going against the bible as it didn't exist then. how did people decide what was right or wrong before the bible came along? all those millennia without a moral guideline, i'm surprised the human race ever made it (or any other race for that matter). emoticonxangel smiley emoticonxangel",Sarcastic,Sarcastic,Agree,320,54,True,Sarcastic
209,Great way of twisting what I said. Would you like a Snickers bar?,Sarcastic,Sarcastic,Agree,65,13,True,Sarcastic
210,"is hillary clinton a truthful politician? perhaps 'truthful politician' is an oxymoron. if her robust commentary on the iranian regime isn't just an attempt to appease (some) republican sentiment in her bid for the presidency, then she should state what 'clear and unequivocal' policy she recommends that the united states should adopt in order to deal with the threat from iran. i don't think she will make clear what aggressive option she favours, if any - at least during her presidential campaign - on the grounds that it might offend (some) democratic sentiment. james.",Non-Sarcastic,Non-Sarcastic,Agree,574,94,True,Non-Sarcastic
212,"Funny, I don't see waves of Christians pounding their beliefs down anyone's throats. They are using the ballot, which is their right. Unless you're against fair elections, too. emoticonXRolleyes 
",Non-Sarcastic,Non-Sarcastic,Agree,197,29,True,Non-Sarcastic
214,And what is an inheritance? Proverbs 13:13 he who feareth the commandment shall be rewarded. 14 The law of the wise is a fountain of life. 15 Good understanding giveth favor 16 Every prudent man dealeth with knowledge 17 a faithful ambassador is health 18,Sarcastic,Sarcastic,Agree,255,45,True,Sarcastic
215,"And you know what? No amount of epigenetic change is going to turn a fruitfly embryo into a human. One of the reasons they are different, and subject to different epigenetic regimes, is because despite genetic homologies (which evolutionary theory predict",Sarcastic,Sarcastic,Agree,255,41,True,Sarcastic
217,So on what day did he create time on. Its not mentioned anywhere in the biblical text which seems to simply assume time.,Sarcastic,Sarcastic,Agree,120,23,True,Sarcastic
218,"Well, there's also carbon dating... Didn't you post something about a decay curve? Are you now going to deny the accuracy of that?",Sarcastic,Sarcastic,Agree,130,23,True,Sarcastic
220,"Not in matters of atheism. Tell me, when science discovers something that seems to agree with the 150 year old writings of Darwin, are the writings of Darwin disregarded? Or is that type of history trumpeted to the masses?",Sarcastic,Sarcastic,Agree,222,39,True,Sarcastic
222,i am none too surprised to see that the point was totally and utterly lost on you.,Sarcastic,Sarcastic,Agree,82,17,True,Sarcastic
223,"Actually, qualified biologists know no such thing. In fact, I've never known one who would agree with that assertion. Can you give us some peer reviewed references to support your assertion?",Sarcastic,Sarcastic,Agree,190,31,True,Sarcastic
226,bwhahaaa....this is unreal. precrime? seriously? minority report? and guns magically turn people into 'bad guys'? hum...good to know. and its funny: we will remove the temptation of a lethal weapon by enforcing new laws via our own lethal weapons.  you people are freaking retarded.,Sarcastic,Sarcastic,Agree,282,44,True,Sarcastic
227,Sounds like I got the better deal. Maybe you should have held your pre-printed sign higher so the cameras could read ALL of it. ;),Sarcastic,Sarcastic,Agree,130,25,True,Sarcastic
229,"Too hard of a question... Pass.   There'd be no need for an 'Abortion' forum on this board.   His (my) name would be Mickey Jones?   Easy... One of them would be sterile.   Yes, No, and maybe so.",Sarcastic,Sarcastic,Agree,195,36,True,Sarcastic
230,"That clearly went whooshing over your head.   It was intended to mock the OP. (Interesting ""new"" bibilical revelation, indeed.)   I don't put any credence in silly comparisons like the trite Kennedy/Lincoln litany that arose in the 60's or the similarly absurd list that INRI posted. They both demonstrate how one can concoct meaningless comparisons in an attempt to invent a non-existent connection between two unrelated events.   It is the same for all ""prophesies"".",Non-Sarcastic,Non-Sarcastic,Agree,468,73,True,Non-Sarcastic
232,"Not really the ball park is too wide. The place you live would be older than the earth. Take egypt. If Moses wrote Genesis the country he lived in was documented as older than his creation. It can't be 6-days.
Angry Black Man Xqs me I mean Angry African American (AAA).",Sarcastic,Sarcastic,Agree,270,51,True,Sarcastic
233,"That's is ridiculously poor logic. Simply becuase the church makes mistakes doesn't mean it's incorrect in all other charges. The US government is WAY more corrupt than the Catholic Church, and yet we obey every god-damned thing big brother makes us do.",Sarcastic,Sarcastic,Agree,253,42,True,Sarcastic
234,Well i know it wouldn't be sensible for anyone to call my child an it that is just disrespectfull to both your partener and child.,Sarcastic,Sarcastic,Agree,130,25,True,Sarcastic
235,"No, Christianity holds that Jesus IS God. 
 
 That Jesus also is NOT God just shows how contradictory the Bible is for Christians (but they overlook logic and hold blindly to their silly trinity position anyway).",Non-Sarcastic,Non-Sarcastic,Agree,214,35,True,Non-Sarcastic
238,"??????? emoticonXBanghead emoticonXBanghead In that case they weren't called by God then, to be celibate, were they??? Anyone who is called by God and doesn't do it is in disobedience. This isn't rocket science, Foundit.
",Non-Sarcastic,Non-Sarcastic,Agree,222,35,True,Non-Sarcastic
239,Because their reasoning is obviously on the same level as their reading comprehension level.,Sarcastic,Sarcastic,Agree,92,14,True,Sarcastic
240,"For being such a ""happy Aussie"", you sure do love to take shots and criticize people. Run out of those happy pills, perhaps? :)",Sarcastic,Sarcastic,Agree,127,24,True,Sarcastic
241,"Agreed. That is why a sensible interpretation, of new data, is so important! :)",Sarcastic,Sarcastic,Agree,79,14,True,Sarcastic
242,"yes they both rock,but the main things is what you're looking for. if your looking for romance,emotion,etc, that type then ya the twilight saga books are great. on the other hand,if you want to enter a world of fantisy,magic,action,etc,then the harry potter series kills anything. the movies of these two are good but not nearly as fantastic as their books. :)",Sarcastic,Sarcastic,Agree,360,61,True,Sarcastic
243,"The article continues to comment that this mechanism serves as a mechanism tailored for evolution? Irrespective of its origins, somehow, life utilizes evolution FOR evolution.  B. Convergence As seen in the docking simulation, the solutions all converg",Sarcastic,Sarcastic,Agree,252,37,True,Sarcastic
244,"Christians offended by 'Happy Holidays' and non-Christians offended by 'Merry Christmas' are as moronic as each other imo.
Two stupids don't make clever.:)
-Wez",Non-Sarcastic,Non-Sarcastic,Agree,162,24,True,Non-Sarcastic
245,"I don't think people have a right to kills themselves (obviously not natural and obviously not legal right now). As for the other question, I wouldn't think a blatent disregard for the others health is morally ok.",Sarcastic,Sarcastic,Agree,213,37,True,Sarcastic
246,Make sure you clap when our defense is gutted and we can't adequately defend our own liberty. Turkey. You don't have an ounce of common sense.,Sarcastic,Sarcastic,Agree,142,26,True,Sarcastic
